Emotion;Emotion_Value;File;Predominant_Color;Number_Of_Colors;Surface_Colored
Negative;1;audio_607.wav;darkturquoise;6;1.6
Negative;1;audio_608.wav;blue;2;27.2
Negative;1;audio_609.wav;red;1;5.4
Positive;0;audio_61.wav;blue;11;52.4
Negative;1;audio_610.wav;blue;1;2.6
Negative;1;audio_611.wav;lime;5;24.7
Negative;1;audio_612.wav;lime;5;28.5
Negative;1;audio_613.wav;lime;4;0.4
Negative;1;audio_614.wav;blue;3;8.1
Negative;1;audio_615.wav;red;4;5.8
Negative;1;audio_616.wav;blue;3;8.3
Negative;1;audio_617.wav;red;2;2.4
Negative;1;audio_618.wav;black;2;3.1
Negative;1;audio_619.wav;darkcyan;4;7.1
Negative;1;audio_62.wav;black;2;5.8
Negative;1;audio_620.wav;yellow;3;12.0
Negative;1;audio_621.wav;yellow;5;1.5
Negative;1;audio_622.wav;red;2;3.6
Negative;1;audio_623.wav;red;5;8.2
Negative;1;audio_624.wav;red;2;4.7
Negative;1;audio_625.wav;darkgray;2;24.2
Negative;1;audio_626.wav;black;5;7.0
Negative;1;audio_627.wav;coral;2;2.3
Negative;1;audio_628.wav;lime;6;5.5
Negative;1;audio_629.wav;red;6;10.6
Positive;0;audio_63.wav;red;5;9.9
Negative;1;audio_630.wav;sienna;6;6.7
Negative;1;audio_631.wav;red;3;14.3
Negative;1;audio_632.wav;indianred;6;13.6
Negative;1;audio_633.wav;red;2;33.5
Negative;1;audio_634.wav;red;10;40.8
Negative;1;audio_635.wav;blue;5;22.2
Negative;1;audio_636.wav;blue;4;18.4
Negative;1;audio_637.wav;blue;2;17.7
Negative;1;audio_638.wav;blue;3;10.8
Negative;1;audio_639.wav;sienna;6;6.4
Negative;1;audio_64.wav;yellow;9;47.8
Negative;1;audio_640.wav;sienna;2;7.1
Negative;1;audio_641.wav;lime;11;28.4
Negative;1;audio_642.wav;lime;5;24.6
Negative;1;audio_643.wav;black;8;7.1
Negative;1;audio_644.wav;yellow;3;4.4
Negative;1;audio_645.wav;black;3;14.2
Negative;1;audio_646.wav;black;4;4.0
Negative;1;audio_647.wav;darkgray;6;10.3
Negative;1;audio_648.wav;red;7;6.1
Negative;1;audio_649.wav;lime;3;5.5
Positive;0;audio_65.wav;lime;3;23.5
